Bottle #,defect,tilt,H offset,V offset,Capacity
174,None,0.220,0.019,0.058,300
175,damage,0.202,0.032,0.063,300
176,None,0.174,0.041,0.061,300
177,None,0.484,0.049,0.067,300
178,None,0.170,0.047,0.071,300
179,bump,0.271,0.021,0.064,300
180,damage,0.376,0.019,0.063,300
181,None,0.177,0.021,0.066,300
182,None,0.481,0.034,0.070,300
183,None,0.220,0.019,0.058,300
184,damage,0.202,0.032,0.063,300
185,None,0.174,0.041,0.061,300
186,None,0.484,0.049,0.067,300
187,None,0.170,0.047,0.071,300
188,bump,0.271,0.021,0.064,300
189,damage,0.376,0.019,0.063,300
190,None,0.177,0.021,0.066,300
191,None,0.481,0.034,0.070,300
192,None,0.220,0.019,0.058,300
193,damage,0.202,0.032,0.063,300
194,None,0.174,0.041,0.061,300
195,None,0.484,0.049,0.067,300
196,None,0.170,0.047,0.071,300
197,bump,0.271,0.021,0.064,300
198,damage,0.376,0.019,0.063,300
199,None,0.177,0.021,0.066,300
200,None,0.481,0.034,0.070,300
201,None,0.220,0.019,0.058,300
202,damage,0.202,0.032,0.063,300
203,None,0.174,0.041,0.061,300
204,None,0.484,0.049,0.067,300
205,None,0.170,0.047,0.071,300
206,bump,0.271,0.021,0.064,300
207,damage,0.376,0.019,0.063,300
208,None,0.177,0.021,0.066,300
209,None,0.481,0.034,0.070,300
210,None,0.220,0.019,0.058,300
211,damage,0.202,0.032,0.063,300
212,None,0.174,0.041,0.061,300
213,None,0.484,0.049,0.067,300
214,None,0.170,0.047,0.071,300
215,bump,0.271,0.021,0.064,300
216,damage,0.376,0.019,0.063,300
217,None,0.177,0.021,0.066,300
218,None,0.481,0.034,0.070,300
219,None,0.220,0.019,0.058,300
220,damage,0.202,0.032,0.063,300
221,None,0.174,0.041,0.061,300
222,None,0.484,0.049,0.067,300
223,None,0.170,0.047,0.071,300
224,bump,0.271,0.021,0.064,300
225,damage,0.376,0.019,0.063,300
226,None,0.177,0.021,0.066,300
227,None,0.481,0.034,0.070,300
228,None,0.220,0.019,0.058,300
229,damage,0.202,0.032,0.063,300
230,None,0.174,0.041,0.061,300
231,None,0.484,0.049,0.067,300
232,None,0.170,0.047,0.071,300
233,bump,0.271,0.021,0.064,300
234,damage,0.376,0.019,0.063,300
235,None,0.177,0.021,0.066,300
236,None,0.481,0.034,0.070,300
237,None,0.220,0.019,0.058,300
238,damage,0.202,0.032,0.063,300
239,None,0.174,0.041,0.061,300
240,None,0.484,0.049,0.067,300
241,None,0.170,0.047,0.071,300
242,bump,0.271,0.021,0.064,300
243,damage,0.376,0.019,0.063,300
244,None,0.177,0.021,0.066,300
245,None,0.481,0.034,0.070,300
246,None,0.220,0.019,0.058,300
247,damage,0.202,0.032,0.063,300
248,None,0.174,0.041,0.061,300
249,None,0.484,0.049,0.067,300
250,None,0.170,0.047,0.071,300
251,bump,0.271,0.021,0.064,300
252,damage,0.376,0.019,0.063,300
