Bottle #,defect,tilt,H offset,V offset,Capacity
757,None,0.177,0.021,0.066,300
758,None,0.481,0.034,0.070,300
759,None,0.220,0.019,0.058,300
760,damage,0.202,0.032,0.063,300
761,None,0.174,0.041,0.061,300
762,None,0.484,0.049,0.067,300
763,None,0.170,0.047,0.071,300
764,bump,0.271,0.021,0.064,300
765,damage,0.376,0.019,0.063,300
766,None,0.177,0.021,0.066,300
767,None,0.481,0.034,0.070,300
768,None,0.220,0.019,0.058,300
769,damage,0.202,0.032,0.063,300
770,None,0.174,0.041,0.061,300
771,None,0.484,0.049,0.067,300
772,None,0.170,0.047,0.071,300
773,bump,0.271,0.021,0.064,300
774,damage,0.376,0.019,0.063,300
775,None,0.177,0.021,0.066,300
776,None,0.481,0.034,0.070,300
777,None,0.220,0.019,0.058,300
778,damage,0.202,0.032,0.063,300
779,None,0.174,0.041,0.061,300
780,None,0.484,0.049,0.067,300
781,None,0.170,0.047,0.071,300
782,bump,0.271,0.021,0.064,300
783,damage,0.376,0.019,0.063,300
784,None,0.177,0.021,0.066,300
785,None,0.481,0.034,0.070,300
786,None,0.220,0.019,0.058,300
787,damage,0.202,0.032,0.063,300
788,None,0.174,0.041,0.061,300
789,None,0.484,0.049,0.067,300
790,None,0.170,0.047,0.071,300
791,bump,0.271,0.021,0.064,300
792,damage,0.376,0.019,0.063,300
793,None,0.177,0.021,0.066,300
794,None,0.481,0.034,0.070,300
795,None,0.220,0.019,0.058,300
796,damage,0.202,0.032,0.063,300
797,None,0.174,0.041,0.061,300
798,None,0.484,0.049,0.067,300
799,None,0.170,0.047,0.071,300
800,bump,0.271,0.021,0.064,300
801,damage,0.376,0.019,0.063,300
802,None,0.177,0.021,0.066,300
803,None,0.481,0.034,0.070,300
804,None,0.220,0.019,0.058,300
805,damage,0.202,0.032,0.063,300
806,None,0.174,0.041,0.061,300
807,None,0.484,0.049,0.067,300
808,None,0.170,0.047,0.071,300
809,bump,0.271,0.021,0.064,300
810,damage,0.376,0.019,0.063,300
811,None,0.177,0.021,0.066,300
812,None,0.481,0.034,0.070,300
813,None,0.220,0.019,0.058,300
814,damage,0.202,0.032,0.063,300
815,None,0.174,0.041,0.061,300
816,None,0.484,0.049,0.067,300
817,None,0.170,0.047,0.071,300
818,bump,0.271,0.021,0.064,300
819,damage,0.376,0.019,0.063,300
820,None,0.177,0.021,0.066,300
821,None,0.481,0.034,0.070,300
822,None,0.220,0.019,0.058,300
823,damage,0.202,0.032,0.063,300
824,None,0.174,0.041,0.061,300
825,None,0.484,0.049,0.067,300
826,None,0.170,0.047,0.071,300
827,bump,0.271,0.021,0.064,300
828,damage,0.376,0.019,0.063,300
829,None,0.177,0.021,0.066,300
830,None,0.481,0.034,0.070,300
831,None,0.220,0.019,0.058,300
832,damage,0.202,0.032,0.063,300
833,None,0.174,0.041,0.061,300
834,None,0.484,0.049,0.067,300
835,None,0.170,0.047,0.071,300
836,bump,0.271,0.021,0.064,300
837,damage,0.376,0.019,0.063,300
838,None,0.177,0.021,0.066,300
839,None,0.481,0.034,0.070,300
840,None,0.220,0.019,0.058,300
841,damage,0.202,0.032,0.063,300
842,None,0.174,0.041,0.061,300
843,None,0.484,0.049,0.067,300
844,None,0.170,0.047,0.071,300
845,bump,0.271,0.021,0.064,300
846,damage,0.376,0.019,0.063,300
847,None,0.177,0.021,0.066,300
848,None,0.481,0.034,0.070,300
849,None,0.220,0.019,0.058,300
850,damage,0.202,0.032,0.063,300
851,None,0.174,0.041,0.061,300
852,None,0.484,0.049,0.067,300
853,None,0.170,0.047,0.071,300
854,bump,0.271,0.021,0.064,300
855,damage,0.376,0.019,0.063,300
856,None,0.177,0.021,0.066,300
857,None,0.481,0.034,0.070,300
858,None,0.220,0.019,0.058,300
859,damage,0.202,0.032,0.063,300
860,None,0.174,0.041,0.061,300
861,None,0.484,0.049,0.067,300
862,None,0.170,0.047,0.071,300
863,bump,0.271,0.021,0.064,300
864,damage,0.376,0.019,0.063,300
865,None,0.177,0.021,0.066,300
866,None,0.481,0.034,0.070,300
867,None,0.220,0.019,0.058,300
868,damage,0.202,0.032,0.063,300
869,None,0.174,0.041,0.061,300
870,None,0.484,0.049,0.067,300
871,None,0.170,0.047,0.071,300
872,bump,0.271,0.021,0.064,300
873,damage,0.376,0.019,0.063,300
874,None,0.177,0.021,0.066,300
875,None,0.481,0.034,0.070,300
876,None,0.220,0.019,0.058,300
877,damage,0.202,0.032,0.063,300
878,None,0.174,0.041,0.061,300
879,None,0.484,0.049,0.067,300
880,None,0.170,0.047,0.071,300
881,bump,0.271,0.021,0.064,300
882,damage,0.376,0.019,0.063,300
883,None,0.177,0.021,0.066,300
884,None,0.481,0.034,0.070,300
885,None,0.220,0.019,0.058,300
886,damage,0.202,0.032,0.063,300
887,None,0.174,0.041,0.061,300
888,None,0.484,0.049,0.067,300
889,None,0.170,0.047,0.071,300
890,bump,0.271,0.021,0.064,300
891,damage,0.376,0.019,0.063,300
892,None,0.177,0.021,0.066,300
893,None,0.481,0.034,0.070,300
894,None,0.220,0.019,0.058,300
895,damage,0.202,0.032,0.063,300
896,None,0.174,0.041,0.061,300
897,None,0.484,0.049,0.067,300
898,None,0.170,0.047,0.071,300
899,bump,0.271,0.021,0.064,300
900,damage,0.376,0.019,0.063,300
901,None,0.177,0.021,0.066,300
902,None,0.481,0.034,0.070,300
903,None,0.220,0.019,0.058,300
904,damage,0.202,0.032,0.063,300
905,None,0.174,0.041,0.061,300
906,None,0.484,0.049,0.067,300
907,None,0.170,0.047,0.071,300
908,bump,0.271,0.021,0.064,300
909,damage,0.376,0.019,0.063,300
910,None,0.177,0.021,0.066,300
911,None,0.481,0.034,0.070,300
912,None,0.220,0.019,0.058,300
913,damage,0.202,0.032,0.063,300
914,None,0.174,0.041,0.061,300
915,None,0.484,0.049,0.067,300
916,None,0.170,0.047,0.071,300
917,bump,0.271,0.021,0.064,300
918,damage,0.376,0.019,0.063,300
919,None,0.177,0.021,0.066,300
920,None,0.481,0.034,0.070,300
921,None,0.220,0.019,0.058,300
922,damage,0.202,0.032,0.063,300
923,None,0.174,0.041,0.061,300
924,None,0.484,0.049,0.067,300
925,None,0.170,0.047,0.071,300
926,bump,0.271,0.021,0.064,300
927,damage,0.376,0.019,0.063,300
928,None,0.177,0.021,0.066,300
929,None,0.481,0.034,0.070,300
930,None,0.220,0.019,0.058,300
931,damage,0.202,0.032,0.063,300
932,None,0.174,0.041,0.061,300
933,None,0.484,0.049,0.067,300
934,None,0.170,0.047,0.071,300
935,bump,0.271,0.021,0.064,300
936,damage,0.376,0.019,0.063,300
937,None,0.177,0.021,0.066,300
938,None,0.481,0.034,0.070,300
939,None,0.220,0.019,0.058,300
940,damage,0.202,0.032,0.063,300
941,None,0.174,0.041,0.061,300
942,None,0.484,0.049,0.067,300
943,None,0.170,0.047,0.071,300
944,bump,0.271,0.021,0.064,300
945,damage,0.376,0.019,0.063,300
946,None,0.177,0.021,0.066,300
947,None,0.481,0.034,0.070,300
948,None,0.220,0.019,0.058,300
949,damage,0.202,0.032,0.063,300
950,None,0.174,0.041,0.061,300
951,None,0.484,0.049,0.067,300
952,None,0.170,0.047,0.071,300
953,bump,0.271,0.021,0.064,300
954,damage,0.376,0.019,0.063,300
955,None,0.177,0.021,0.066,300
956,None,0.481,0.034,0.070,300
957,None,0.220,0.019,0.058,300
958,damage,0.202,0.032,0.063,300
959,None,0.174,0.041,0.061,300
960,None,0.484,0.049,0.067,300
961,None,0.170,0.047,0.071,300
962,bump,0.271,0.021,0.064,300
963,damage,0.376,0.019,0.063,300
964,None,0.177,0.021,0.066,300
965,None,0.481,0.034,0.070,300
966,None,0.220,0.019,0.058,300
967,damage,0.202,0.032,0.063,300
968,None,0.174,0.041,0.061,300
969,None,0.484,0.049,0.067,300
970,None,0.170,0.047,0.071,300
971,bump,0.271,0.021,0.064,300
972,damage,0.376,0.019,0.063,300
973,None,0.177,0.021,0.066,300
974,None,0.481,0.034,0.070,300
975,None,0.220,0.019,0.058,300
976,damage,0.202,0.032,0.063,300
977,None,0.174,0.041,0.061,300
978,None,0.484,0.049,0.067,300
979,None,0.170,0.047,0.071,300
980,bump,0.271,0.021,0.064,300
981,damage,0.376,0.019,0.063,300
982,None,0.177,0.021,0.066,300
983,None,0.481,0.034,0.070,300
984,None,0.220,0.019,0.058,300
985,damage,0.202,0.032,0.063,300
986,None,0.174,0.041,0.061,300
987,None,0.484,0.049,0.067,300
988,None,0.170,0.047,0.071,300
989,bump,0.271,0.021,0.064,300
990,damage,0.376,0.019,0.063,300
991,None,0.177,0.021,0.066,300
992,None,0.481,0.034,0.070,300
993,None,0.220,0.019,0.058,300
994,damage,0.202,0.032,0.063,300
995,None,0.174,0.041,0.061,300
996,None,0.484,0.049,0.067,300
997,None,0.170,0.047,0.071,300
998,bump,0.271,0.021,0.064,300
999,damage,0.376,0.019,0.063,300
1000,None,0.177,0.021,0.066,300
1001,None,0.481,0.034,0.070,300
1002,None,0.220,0.019,0.058,300
1003,damage,0.202,0.032,0.063,300
1004,None,0.174,0.041,0.061,300
1005,None,0.484,0.049,0.067,300
1006,None,0.170,0.047,0.071,300
1007,bump,0.271,0.021,0.064,300
1008,damage,0.376,0.019,0.063,300
1009,None,0.177,0.021,0.066,300
1010,None,0.657,0.072,0.075,300
