epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_3,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_3,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_3,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_3,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_3,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_3,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/bottle,val/AP/bump,val/AP/capacity,val/AP/damage,val/AP/label,val/AP/scratch,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_3,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_3,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_3,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_3,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_3,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_3,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9746760725975037,0.0009410742786712945,0.48036959767341614,0.0,0.9785534143447876,0.0,0.4468919634819031,1.1563518047332764,1.4104233980178833,1.302931547164917,1.182410478591919,1.2149837017059326,1.2508143186569214,10.7463960647583,0.46229881048202515,0.40126195549964905,0.4663565158843994,0.45367956161499023,0.39626219868659973,11.862584114074707,0.034812137484550476,0.048148013651371,0.04190819337964058,0.04287561774253845,0.03521488234400749,0.06062585860490799,0.4478320777416229,0.7186617255210876,0.5631187558174133,0.5498737096786499,0.485586017370224,0.6189249753952026,0.16820597648620605,0.19662727415561676,0.1887972503900528,0.1821945458650589,0.17205815017223358,0.22806523740291595,0.0396263524889946,0.044305846095085144,0.042748596519231796,0.042024824768304825,0.04234135523438454,0.049648262560367584,0.11398325115442276,0.1238023117184639,0.1202930361032486,0.11879362165927887,0.1142205223441124,0.12596486508846283,0.4678027629852295,0.4057566821575165,0.41644325852394104,0.4597106873989105,0.4494412839412689,0.4453003406524658,0.46257519721984863,0.4016593396663666
0,46,19.4494686126709,12.021276473999023,17.066490173339844,19.20079803466797,19.38962745666504,16.570478439331055,24.32078742980957,16.926698684692383,0.045019589364528656,0.0813698023557663,0.06381206214427948,0.05311180278658867,0.04842693731188774,0.1097327172756195,0.5662714242935181,0.8938780426979065,0.7127189040184021,0.6573892831802368,0.5993251800537109,0.6357811093330383,0.21025891602039337,0.29359427094459534,0.2616024911403656,0.23164458572864532,0.22130967676639557,0.37379032373428345,0.06503929942846298,0.08385605365037918,0.07427725195884705,0.06897011399269104,0.06506406515836716,0.09404440224170685,0.15436533093452454,0.19539444148540497,0.1772502362728119,0.16666623950004578,0.15875370800495148,0.2302314043045044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9776872992515564,0.04503124579787254,0.6275222897529602,0.04798224940896034,0.9848090410232544,0.0,0.5073527097702026,0.44625407457351685,2.0195438861846924,0.8501628637313843,0.5374592542648315,0.45928338170051575,0.5863192081451416,5.901215076446533,0.5260413289070129,0.4450708329677582,0.5537121295928955,0.5087676644325256,0.4374542534351349,9.750442504882812,0.022476475685834885,0.03385287895798683,0.030561791732907295,0.02555139921605587,0.023706909269094467,0.05737845227122307,0.3478696048259735,0.8293763399124146,0.5552169680595398,0.4301522672176361,0.3738804757595062,0.5506961345672607,0.12925995886325836,0.1529984325170517,0.14256106317043304,0.13710226118564606,0.13043616712093353,0.19639702141284943,0.032479654997587204,0.04000258818268776,0.033666957169771194,0.03364933654665947,0.034812070429325104,0.04253532737493515,0.08897505700588226,0.10198736935853958,0.09165243804454803,0.0914812758564949,0.08870114386081696,0.10367666929960251,0.5253759622573853,0.44717201590538025,0.45703864097595215,0.5582870244979858,0.5130334496498108,0.5354540944099426,0.5080255270004272,0.4360571503639221
1,93,30.538564682006836,16.29521369934082,28.54521369934082,30.615692138671875,29.917552947998047,26.130319595336914,6.141765117645264,10.603076934814453,0.025257349014282227,0.042395830154418945,0.03629697486758232,0.032199960201978683,0.02739400789141655,0.06240849196910858,0.3830971419811249,0.8857765197753906,0.6129222512245178,0.5292777419090271,0.429320365190506,0.5716655254364014,0.13456571102142334,0.15773096680641174,0.152924045920372,0.1439063549041748,0.1390809565782547,0.20131969451904297,0.03959416225552559,0.04713078588247299,0.04380570724606514,0.04117942601442337,0.040499500930309296,0.04960547015070915,0.09188433736562729,0.09940396249294281,0.0953681543469429,0.09346804022789001,0.09318797290325165,0.1053120568394661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9797565937042236,0.07539515197277069,0.6609915494918823,0.10635211318731308,0.9851415753364563,0.0,0.5696671605110168,0.37785017490386963,1.2312703132629395,0.5602605938911438,0.46254071593284607,0.3876221477985382,0.4657980501651764,5.7668938636779785,0.5500748753547668,0.46280354261398315,0.6085458397865295,0.5311712026596069,0.44565242528915405,8.729828834533691,0.021300461143255234,0.03086911514401436,0.023339590057730675,0.022059429436922073,0.021310247480869293,0.047734152525663376,0.33777326345443726,0.6864616274833679,0.46122556924819946,0.3935595452785492,0.34304478764533997,0.4930928945541382,0.11997818201780319,0.14108999073505402,0.1267673671245575,0.12412545084953308,0.12038244307041168,0.16915053129196167,0.03083798475563526,0.03504925221204758,0.03140688315033913,0.031062526628375053,0.03183707967400551,0.03691341355443001,0.08394826948642731,0.09122791141271591,0.08765798807144165,0.08598976582288742,0.08315547555685043,0.08663728833198547,0.5601972341537476,0.46793949604034424,0.4779229164123535,0.6082993149757385,0.5556188225746155,0.5870223641395569,0.5405070781707764,0.4514334797859192
2,140,33.19548034667969,18.73271369934082,31.12632942199707,33.27659606933594,33.15691375732422,30.972074508666992,3.8308637142181396,9.163785934448242,0.020941289141774178,0.03383433446288109,0.02729226090013981,0.024048293009400368,0.021611593663692474,0.05447378382086754,0.3262077867984772,0.8650092482566833,0.5416617393493652,0.41249221563339233,0.34218475222587585,0.5347458720207214,0.11436409503221512,0.13314217329025269,0.12480785697698593,0.11904258280992508,0.11535359174013138,0.17431853711605072,0.035372138023376465,0.04033546894788742,0.03725568950176239,0.035771068185567856,0.03550887480378151,0.04468484967947006,0.08131717890501022,0.08683037012815475,0.08206844329833984,0.08272210508584976,0.08076784759759903,0.09104939550161362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9863319396972656,0.12295738607645035,0.6652539372444153,0.12107188254594803,0.9861158132553101,0.00013824024063069373,0.5873121619224548,0.36807817220687866,1.1205211877822876,0.5276873111724854,0.44625407457351685,0.371335506439209,0.5048859715461731,5.215914249420166,0.587772786617279,0.4826098382472992,0.6227037310600281,0.5629666447639465,0.46299418807029724,8.418407440185547,0.019535066559910774,0.027569420635700226,0.027796322479844093,0.021085241809487343,0.01842772588133812,0.04100590571761131,0.3248054087162018,0.6840664148330688,0.43786466121673584,0.37730419635772705,0.3326292335987091,0.48577383160591125,0.11507570743560791,0.13300661742687225,0.1320117861032486,0.11980220675468445,0.11475133895874023,0.16386863589286804,0.03171638771891594,0.032675601541996,0.03139033541083336,0.029002239927649498,0.02936377562582493,0.035839419811964035,0.0827300176024437,0.08589348196983337,0.07783862948417664,0.08091002702713013,0.0800803154706955,0.09092658013105392,0.5923528671264648,0.4803115427494049,0.48309794068336487,0.629733145236969,0.642707884311676,0.5789523124694824,0.567022442817688,0.4649234414100647
